STOP_ID,DIRECTION_ID,STATION_DESCRIPTIVE_NAME,MAP_ID,Location
30082,E,Cicero (Pink Line),40420,"(41.85182, -87.745336)"
30151,E,Central Park (Pink Line),40780,"(41.853839, -87.714842)"
30184,W,Halsted (Green Line),40940,"(41.778943, -87.644244)"
30044,N,Cumberland (Blue Line),40230,"(41.984246, -87.838028)"
30092,E,Racine (Blue Line),40470,"(41.87592, -87.659458)"
30253,N,Paulina (Brown Line),41310,"(41.943623, -87.670907)"
30162,W,18th (Pink Line),40830,"(41.857908, -87.669147)"
30374,S,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink lines)",40380,"(41.885737, -87.630886)"
30248,S,Jefferson Park (Blue Line),41280,"(41.970634, -87.760892)"
30104,S,Diversey (Brown & Purple lines),40530,"(41.932732, -87.653131)"
30287,N,Montrose (Brown Line),41500,"(41.961756, -87.675047)"
30068,E,UIC-Halsted (Blue Line),40350,"(41.875474, -87.649707)"
30214,S,35th-Bronzeville-IIT (Green Line),41120,"(41.831677, -87.625826)"
30102,S,Foster (Purple Line),40520,"(42.05416, -87.68356)"
30008,S,"Quincy/Wells (Brown, Orange, Purple & Pink lines)",40040,"(41.878723, -87.63374)"
30070,N,Southport (Brown Line),40360,"(41.943744, -87.663619)"
30252,S,Loyola (Red Line),41300,"(42.001073, -87.661061)"
30237,N,47th (Red Line),41230,"(41.810318, -87.63094)"
30267,N,Bryn Mawr (Red Line),41380,"(41.983504, -87.65884)"
30190,W,Harlem (Blue Line - Forest Park Branch),40980,"(41.87349, -87.806961)"
30173,N,"Howard (Red, Purple & Yellow lines)",40900,"(42.019063, -87.672892)"
30207,E,Kedzie (Green Line),41070,"(41.884321, -87.706155)"
30218,W,King Drive (Green Line),41140,"(41.78013, -87.615546)"
30057,W,Ashland/63rd (Green Line),40290,"(41.77886, -87.663766)"
30088,N,95th/Dan Ryan (Red Line),40450,"(41.722377, -87.624342)"
30129,N,Western (Blue Line - O'Hare Branch),40670,"(41.916157, -87.687364)"
30128,S,Armitage (Brown & Purple lines),40660,"(41.918217, -87.652644)"
30089,S,95th/Dan Ryan (Red Line),40450,"(41.722377, -87.624342)"
30269,N,"Roosevelt (Red, Orange & Green lines)",41400,"(41.867368, -87.627402)"
30256,S,"Belmont (Red, Brown & Purple lines)",41320,"(41.939751, -87.65338)"
30114,W,54th/Cermak (Pink Line),40580,"(41.85177331, -87.75669201)"
30217,E,King Drive (Green Line),41140,"(41.78013, -87.615546)"
30134,S,Dempster (Purple Line),40690,"(42.041655, -87.681602)"
30236,S,"Fullerton (Red, Brown & Purple lines)",41220,"(41.925051, -87.652866)"
30149,N,Lawrence (Red Line),40770,"(41.969139, -87.658493)"
30158,W,Illinois Medical District (Blue Line),40810,"(41.875706, -87.673932)"
30290,S,Lake (Red Line),41660,"(41.884809, -87.627813)"
30047,S,79th (Red Line),40240,"(41.750419, -87.625112)"
30243,E,Austin (Green Line),41260,"(41.887293, -87.774135)"
30084,E,Clinton (Blue Line),40430,"(41.875539, -87.640984)"
30231,N,Wellington (Brown & Purple lines),41210,"(41.936033, -87.653266)"
30175,N,"Howard (Red, Purple & Yellow lines)",40900,"(42.019063, -87.672892)"
30263,E,Oak Park (Green Line),41350,"(41.886988, -87.793783)"
30130,S,Western (Blue Line - O'Hare Branch),40670,"(41.916157, -87.687364)"
30268,S,Bryn Mawr (Red Line),41380,"(41.983504, -87.65884)"
30279,N,Chicago (Red Line),41450,"(41.896671, -87.628176)"
30155,N,Sedgwick (Brown & Purple lines),40800,"(41.910409, -87.639302)"
30239,N,Addison (Blue Line),41240,"(41.94738, -87.71906)"
30288,S,Montrose (Brown Line),41500,"(41.961756, -87.675047)"
30015,S,Jackson (Blue Line),40070,"(41.878183, -87.629296)"
30202,W,Kedzie (Pink Line),41040,"(41.853964, -87.705408)"
30154,S,Monroe (Blue Line),40790,"(41.880703, -87.629378)"
30195,N,Rockwell (Brown Line),41010,"(41.966115, -87.6941)"
30041,W,Damen (Pink Line),40210,"(41.854517, -87.675975)"
30180,W,Pulaski (Blue Line),40920,"(41.873797, -87.725663)"
30101,N,Foster (Purple Line),40520,"(42.05416, -87.68356)"
30004,W,Harlem/Lake (Green Line),40020,"(41.886848, -87.803176)"
30384,S,"Washington/Wabash (Brown, Green, Orange, Purple & Pink lines)",41700,"(41.88322, -87.626189)"
30266,W,California (Green Line),41360,"(41.88422, -87.696234)"
30021,S,Morse (Red Line),40100,"(42.008362, -87.665909)"
30060,N,Western (Orange Line),40310,"(41.804546, -87.684019)"
30096,S,Grand (Blue Line),40490,"(41.891189, -87.647578)"
30375,N,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink lines)",40380,"(41.885737, -87.630886)"
30095,N,Grand (Blue Line),40490,"(41.891189, -87.647578)"
30062,N,Division (Blue Line),40320,"(41.903355, -87.666496)"
30185,N,Pulaski (Orange Line),40960,"(41.799756, -87.724493)"
30161,E,18th (Pink Line),40830,"(41.857908, -87.669147)"
30293,N,Sheridan (Red Line),40080,"(41.953775, -87.654929)"
30272,S,Chicago (Blue Line),41410,"(41.896075, -87.655214)"
30090,N,Merchandise Mart (Brown & Purple lines),40460,"(41.888969, -87.633924)"
30061,S,Western (Orange Line),40310,"(41.804546, -87.684019)"
30171,N,O'Hare (Blue Line),40890,"(41.97766526, -87.90422307)"
30245,N,43rd (Green Line),41270,"(41.816462, -87.619021)"
30093,W,Racine (Blue Line),40470,"(41.87592, -87.659458)"
30265,E,California (Green Line),41360,"(41.88422, -87.696234)"
30063,S,Division (Blue Line),40320,"(41.903355, -87.666496)"
30036,N,Sox-35th (Red Line),40190,"(41.831191, -87.630636)"
30083,W,Cicero (Pink Line),40420,"(41.85182, -87.745336)"
30198,S,Logan Square (Blue Line),41020,"(41.929728, -87.708541)"
30020,N,Morse (Red Line),40100,"(42.008362, -87.665909)"
30115,N,Damen (Blue Line),40590,"(41.909744, -87.677437)"
30156,S,Sedgwick (Brown & Purple lines),40800,"(41.910409, -87.639302)"
30240,S,Addison (Blue Line),41240,"(41.94738, -87.71906)"
30032,E,Ashland (Green & Pink lines),40170,"(41.885269, -87.666969)"
30108,S,Irving Park (Blue Line),40550,"(41.952925, -87.729229)"
30386,N,Wilson (Red & Purple lines),40540,"(41.964273, -87.657588)"
30193,N,Cermak-Chinatown (Red Line),41000,"(41.853206, -87.630968)"
30262,W,LaSalle (Blue Line),41340,"(41.875568, -87.631722)"
30169,N,Thorndale (Red Line),40880,"(41.990259, -87.659076)"
30046,N,79th (Red Line),40240,"(41.750419, -87.625112)"
30147,N,Granville (Red Line),40760,"(41.993664, -87.659202)"
30014,N,Jackson (Blue Line),40070,"(41.878183, -87.629296)"
30274,S,Addison (Red Line),41420,"(41.947428, -87.653626)"
30085,W,Clinton (Blue Line),40430,"(41.875539, -87.640984)"
30264,W,Oak Park (Green Line),41350,"(41.886988, -87.793783)"
30196,S,Rockwell (Brown Line),41010,"(41.966115, -87.6941)"
30150,S,Lawrence (Red Line),40770,"(41.969139, -87.658493)"
30054,E,Central (Green Line),40280,"(41.887389, -87.76565)"
30292,W,Conservatory (Green Line),41670,"(41.884904, -87.716523)"
30232,S,Wellington (Brown & Purple lines),41210,"(41.936033, -87.653266)"
30078,N,Noyes (Purple Line),40400,"(42.058282, -87.683337)"
30157,E,Illinois Medical District (Blue Line),40810,"(41.875706, -87.673932)"
30209,N,47th (Green Line),41080,"(41.809209, -87.618826)"
30289,N,Lake (Red Line),41660,"(41.884809, -87.627813)"
30257,N,"Belmont (Red, Brown & Purple lines)",41320,"(41.939751, -87.65338)"
30228,S,Jarvis (Red Line),41190,"(42.015876, -87.669092)"
30216,S,Halsted (Orange Line),41130,"(41.84678, -87.648088)"
30011,S,Davis (Purple Line),40050,"(42.04771, -87.683543)"
30270,S,"Roosevelt (Red, Orange & Green lines)",41400,"(41.867368, -87.627402)"
30233,N,"Fullerton (Red, Brown & Purple lines)",41220,"(41.925051, -87.652866)"
30079,S,Noyes (Purple Line),40400,"(42.058282, -87.683337)"
30137,N,Chicago (Brown & Purple lines),40710,"(41.89681, -87.635924)"
30261,E,LaSalle (Blue Line),41340,"(41.875568, -87.631722)"
30211,N,Monroe (Red Line),41090,"(41.880745, -87.627696)"
30291,E,Conservatory (Green Line),41670,"(41.884904, -87.716523)"
30225,N,Kedzie (Brown Line),41180,"(41.965996, -87.708821)"
30024,N,51st (Green Line),40130,"(41.80209, -87.618487)"
30099,N,Garfield (Green Line),40510,"(41.795172, -87.618327)"
30206,S,Ashland (Orange Line),41060,"(41.839234, -87.665317)"
30064,N,Grand (Red Line),40330,"(41.891665, -87.628021)"
30381,N,Cermak-McCormick Place (Green Line),41690,"(41.853115, -87.626402)"
30100,S,Garfield (Green Line),40510,"(41.795172, -87.618327)"
30200,W,Polk (Pink Line),41030,"(41.871551, -87.66953)"
30018,N,Damen (Brown Line),40090,"(41.966286, -87.678639)"
30029,W,Pulaski (Pink Line),40150,"(41.853732, -87.724311)"
30022,N,35th/Archer (Orange Line),40120,"(41.829353, -87.680622)"
30164,S,South Boulevard (Purple Line),40840,"(42.027612, -87.678329)"
30052,N,Main (Purple Line),40270,"(42.033456, -87.679538)"
30106,S,Wilson (Red & Purple lines),40540,"(41.964273, -87.657588)"
30110,S,Jackson (Red Line),40560,"(41.878153, -87.627596)"
30273,N,Addison (Red Line),41420,"(41.947428, -87.653626)"
30229,N,Argyle (Red Line),41200,"(41.973453, -87.65853)"
30165,E,"Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink lines)",40850,"(41.876862, -87.628196)"
30016,N,Sheridan (Red Line),40080,"(41.953775, -87.654929)"
30001,E,Austin (Blue Line),40010,"(41.870851, -87.776812)"
30107,N,Irving Park (Blue Line),40550,"(41.952925, -87.729229)"
30072,N,Washington (Blue Line),40370,"(41.883164, -87.62944)"
30055,W,Central (Green Line),40280,"(41.887389, -87.76565)"
30048,E,Kedzie-Homan (Blue Line),40250,"(41.874341, -87.70604)"
30385,S,Wilson (Red & Purple lines),40540,"(41.964273, -87.657588)"
30177,N,63rd (Red Line),40910,"(41.780536, -87.630952)"
30166,W,"Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink lines)",40850,"(41.876862, -87.628196)"
30219,N,Kedzie (Orange Line),41150,"(41.804236, -87.704406)"
30135,E,Laramie (Green Line),40700,"(41.887163, -87.754986)"
30276,S,87th (Red Line),41430,"(41.735372, -87.624717)"
30002,W,Austin (Blue Line),40010,"(41.870851, -87.776812)"
30043,W,Western (Blue Line - Forest Park Branch),40220,"(41.875478, -87.688436)"
30283,N,Western (Brown Line),41480,"(41.966163, -87.688502)"
30111,N,California (Blue Line),40570,"(41.921939, -87.69689)"
30076,E,Forest Park (Blue Line),40390,"(41.874257, -87.817318)"
30383,N,"Washington/Wabash (Brown, Green, Orange, Purple & Pink lines)",41700,"(41.88322, -87.626189)"
30053,S,Main (Purple Line),40270,"(42.033456, -87.679538)"
30159,N,Rosemont (Blue Line),40820,"(41.983507, -87.859388)"
30132,S,"Adams/Wabash (Brown, Green, Orange, Pink & Purple lines)",40680,"(41.879507, -87.626037)"
30194,S,Cermak-Chinatown (Red Line),41000,"(41.853206, -87.630968)"
30025,S,51st (Green Line),40130,"(41.80209, -87.618487)"
30067,S,Berwyn (Red Line),40340,"(41.977984, -87.658668)"
30145,N,Harlem (Blue Line - O'Hare Branch),40750,"(41.98227, -87.8089)"
30012,N,Belmont (Blue Line),40060,"(41.938132, -87.712359)"
30199,E,Polk (Pink Line),41030,"(41.871551, -87.66953)"
30049,W,Kedzie-Homan (Blue Line),40250,"(41.874341, -87.70604)"
30121,N,Clark/Division (Red Line),40630,"(41.90392, -87.631412)"
30059,S,Indiana (Green Line),40300,"(41.821732, -87.621371)"
30117,E,Kostner (Pink Line),40600,"(41.853751, -87.733258)"
30226,S,Kedzie (Brown Line),41180,"(41.965996, -87.708821)"
30027,S,Dempster-Skokie  (Yellow Line),40140,"(42.038951, -87.751919)"
30296,W,Morgan (Green & Pink lines),41510,"(41.885586, -87.652193)"
30170,S,Thorndale (Red Line),40880,"(41.990259, -87.659076)"
30187,E,Cicero (Blue Line),40970,"(41.871574, -87.745154)"
30297,N,Oakton-Skokie (Yellow Line),41680,"(42.02624348, -87.74722084)"
30138,S,Chicago (Brown & Purple lines),40710,"(41.89681, -87.635924)"
30246,S,43rd (Green Line),41270,"(41.816462, -87.619021)"
30028,E,Pulaski (Pink Line),40150,"(41.853732, -87.724311)"
30033,W,Ashland (Green & Pink lines),40170,"(41.885269, -87.666969)"
30140,W,Cottage Grove (Green Line),40720,"(41.780309, -87.605857)"
30037,S,Sox-35th (Red Line),40190,"(41.831191, -87.630636)"
30182,S,Midway (Orange Line),40930,"(41.78661, -87.737875)"
30116,S,Damen (Blue Line),40590,"(41.909744, -87.677437)"
30215,N,Halsted (Orange Line),41130,"(41.84678, -87.648088)"
30212,S,Monroe (Red Line),41090,"(41.880745, -87.627696)"
30075,W,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink lines)",40380,"(41.885737, -87.630886)"
30241,N,Central (Purple Line),41250,"(42.063987, -87.685617)"
30005,E,Pulaski (Green Line),40030,"(41.885412, -87.725404)"
30120,W,Ridgeland (Green Line),40610,"(41.887159, -87.783661)"
30176,S,"Howard (Red, Purple & Yellow lines)",40900,"(42.019063, -87.672892)"
30204,S,Linden (Purple Line),41050,"(42.073153, -87.69073)"
30010,N,Davis (Purple Line),40050,"(42.04771, -87.683543)"
30223,N,Garfield (Red Line),41170,"(41.79542, -87.631157)"
30073,S,Washington (Blue Line),40370,"(41.883164, -87.62944)"
30126,S,North/Clybourn (Red Line),40650,"(41.910655, -87.649177)"
30065,S,Grand (Red Line),40330,"(41.891665, -87.628021)"
30105,N,Wilson (Red & Purple lines),40540,"(41.964273, -87.657588)"
30035,W,Oak Park (Blue Line),40180,"(41.872108, -87.791602)"
30023,S,35th/Archer (Orange Line),40120,"(41.829353, -87.680622)"
30163,N,South Boulevard (Purple Line),40840,"(42.027612, -87.678329)"
30006,W,Pulaski (Green Line),40030,"(41.885412, -87.725404)"
30188,W,Cicero (Blue Line),40970,"(41.871574, -87.745154)"
30109,N,Jackson (Red Line),40560,"(41.878153, -87.627596)"
30230,S,Argyle (Red Line),41200,"(41.973453, -87.65853)"
30281,N,Irving Park (Brown Line),41460,"(41.954521, -87.674868)"
30080,N,"Roosevelt (Red, Orange & Green lines)",41400,"(41.867405, -87.62659)"
30181,N,Midway (Orange Line),40930,"(41.78661, -87.737875)"
30026,N,Dempster-Skokie  (Yellow Line),40140,"(42.038951, -87.751919)"
30167,N,Francisco (Brown Line),40870,"(41.966046, -87.701644)"
30030,E,"LaSalle/Van Buren (Brown, Orange, Purple & Pink lines)",40160,"(41.8768, -87.631739)"
30146,S,Harlem (Blue Line - O'Hare Branch),40750,"(41.98227, -87.8089)"
30013,S,Belmont (Blue Line),40060,"(41.938132, -87.712359)"
30086,E,California (Pink Line),40440,"(41.854109, -87.694774)"
30143,E,Western (Pink Line),40740,"(41.854225, -87.685129)"
30192,S,69th (Red Line),40990,"(41.768367, -87.625724)"
30141,N,"Washington/Wells (Brown, Orange, Purple & Pink lines)",40730,"(41.882695, -87.63378)"
30286,S,Harrison (Red Line),41490,"(41.874039, -87.627479)"
30221,E,Clinton (Green & Pink lines),41160,"(41.885678, -87.641782)"
30294,S,Sheridan (Red Line),40080,"(41.953775, -87.654929)"
30258,S,"Belmont (Red, Brown & Purple lines)",41320,"(41.939751, -87.65338)"
30242,S,Central (Purple Line),41250,"(42.063987, -87.685617)"
30203,N,Linden (Purple Line),41050,"(42.073153, -87.69073)"
30220,S,Kedzie (Orange Line),41150,"(41.804236, -87.704406)"
30250,S,Kimball (Brown Line),41290,"(41.967901, -87.713065)"
30178,S,63rd (Red Line),40910,"(41.780536, -87.630952)"
30234,S,"Fullerton (Red, Brown & Purple lines)",41220,"(41.925051, -87.652866)"
30278,S,Addison (Brown Line),41440,"(41.947028, -87.674642)"
30174,S,"Howard (Red, Purple & Yellow lines)",40900,"(42.019063, -87.672892)"
30238,S,47th (Red Line),41230,"(41.810318, -87.63094)"
30382,S,Cermak-McCormick Place (Green Line),41690,"(41.853115, -87.626402)"
30208,W,Kedzie (Green Line),41070,"(41.884321, -87.706155)"
30189,E,Harlem (Blue Line - Forest Park Branch),40980,"(41.87349, -87.806961)"
30056,E,Ashland/63rd (Green Line),40290,"(41.77886, -87.663766)"
30119,E,Ridgeland (Green Line),40610,"(41.887159, -87.783661)"
30298,S,Oakton-Skokie (Yellow Line),41680,"(42.02624348, -87.74722084)"
30139,E,Cottage Grove (Green Line),40720,"(41.780309, -87.605857)"
30122,S,Clark/Division (Red Line),40630,"(41.90392, -87.631412)"
30251,N,Loyola (Red Line),41300,"(42.001073, -87.661061)"
30295,E,Morgan (Green & Pink lines),41510,"(41.885586, -87.652193)"
30019,S,Damen (Brown Line),40090,"(41.966286, -87.678639)"
30205,N,Ashland (Orange Line),41060,"(41.839234, -87.665317)"
30131,N,"Adams/Wabash (Brown, Green, Orange, Pink & Purple lines)",40680,"(41.879507, -87.626037)"
30160,S,Rosemont (Blue Line),40820,"(41.983507, -87.859388)"
30058,N,Indiana (Green Line),40300,"(41.821732, -87.621371)"
30118,W,Kostner (Pink Line),40600,"(41.853751, -87.733258)"
30066,N,Berwyn (Red Line),40340,"(41.977984, -87.658668)"
30103,N,Diversey (Brown & Purple lines),40530,"(41.932732, -87.653131)"
30247,N,Jefferson Park (Blue Line),41280,"(41.970634, -87.760892)"
30183,E,Halsted (Green Line),40940,"(41.778943, -87.644244)"
30275,N,87th (Red Line),41430,"(41.735372, -87.624717)"
30210,S,47th (Green Line),41080,"(41.809209, -87.618826)"
30271,N,Chicago (Blue Line),41410,"(41.896075, -87.655214)"
30284,S,Western (Brown Line),41480,"(41.966163, -87.688502)"
30077,W,Forest Park (Blue Line),40390,"(41.874257, -87.817318)"
30112,S,California  (Blue Line),40570,"(41.921939, -87.69689)"
30254,S,Paulina (Brown Line),41310,"(41.943623, -87.670907)"
30007,N,"Quincy/Wells (Brown, Orange, Purple & Pink lines)",40040,"(41.878723, -87.63374)"
30091,S,Merchandise Mart (Brown & Purple lines),40460,"(41.888969, -87.633924)"
30051,W,"State/Lake (Brown, Green, Orange, Pink & Purple lines)",40260,"(41.88574, -87.627835)"
30094,E,Cicero (Green Line),40480,"(41.886519, -87.744698)"
30260,S,Montrose (Blue Line),41330,"(41.961539, -87.743574)"
30042,E,Western (Blue Line - Forest Park Branch),40220,"(41.875478, -87.688436)"
30285,N,Harrison (Red Line),41490,"(41.874039, -87.627479)"
30127,N,Armitage (Brown & Purple lines),40660,"(41.918217, -87.652644)"
30227,N,Jarvis (Red Line),41190,"(42.015876, -87.669092)"
30017,S,Sheridan (Red Line),40080,"(41.953775, -87.654929)"
30003,E,Harlem/Lake (Green Line),40020,"(41.886848, -87.803176)"
30277,N,Addison (Brown Line),41440,"(41.947028, -87.674642)"
30255,N,"Belmont (Red, Brown & Purple lines)",41320,"(41.939751, -87.65338)"
30136,W,Laramie (Green Line),40700,"(41.887163, -87.754986)"
30249,N,Kimball (Brown Line),41290,"(41.967901, -87.713065)"
30191,N,69th (Red Line),40990,"(41.768367, -87.625724)"
30050,E,"State/Lake (Brown, Green, Orange, Pink & Purple lines)",40260,"(41.88574, -87.627835)"
30153,N,Monroe (Blue Line),40790,"(41.880703, -87.629378)"
30040,E,Damen (Pink Line),40210,"(41.854517, -87.675975)"
30179,E,Pulaski (Blue Line),40920,"(41.873797, -87.725663)"
30186,S,Pulaski (Orange Line),40960,"(41.799756, -87.724493)"
30213,N,35th-Bronzeville-IIT (Green Line),41120,"(41.831677, -87.625826)"
30144,W,Western (Pink Line),40740,"(41.854225, -87.685129)"
30235,N,"Fullerton (Red, Brown & Purple lines)",41220,"(41.925051, -87.652866)"
30148,S,Granville (Red Line),40760,"(41.993664, -87.659202)"
30071,S,Southport (Brown Line),40360,"(41.943744, -87.663619)"
30280,S,Chicago (Red Line),41450,"(41.896671, -87.628176)"
30031,W,"LaSalle/Van Buren (Brown, Orange, Purple & Pink lines)",40160,"(41.8768, -87.631739)"
30222,W,Clinton (Green & Pink lines),41160,"(41.885678, -87.641782)"
30142,S,"Washington/Wells (Brown, Orange, Purple & Pink lines)",40730,"(41.882695, -87.63378)"
30224,S,Garfield (Red Line),41170,"(41.79542, -87.631157)"
30244,W,Austin (Green Line),41260,"(41.887293, -87.774135)"
30113,E,54th/Cermak (Pink Line),40580,"(41.85177331, -87.75669201)"
30282,S,Irving Park (Brown Line),41460,"(41.954521, -87.674868)"
30197,N,Logan Square (Blue Line),41020,"(41.929728, -87.708541)"
30152,W,Central Park (Pink Line),40780,"(41.853839, -87.714842)"
30087,W,California (Pink Line),40440,"(41.854109, -87.694774)"
30201,E,Kedzie (Pink Line),41040,"(41.853964, -87.705408)"
30069,W,UIC-Halsted (Blue Line),40350,"(41.875474, -87.649707)"
30074,E,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink lines)",40380,"(41.885737, -87.630886)"
30133,N,Dempster (Purple Line),40690,"(42.041655, -87.681602)"
30081,S,"Roosevelt (Red, Orange & Green lines)",41400,"(41.867405, -87.62659)"
30034,E,Oak Park (Blue Line),40180,"(41.872108, -87.791602)"
30168,S,Francisco (Brown Line),40870,"(41.966046, -87.701644)"
30009,W,Cicero (Green Line),40480,"(41.886519, -87.744698)"
30259,N,Montrose (Blue Line),41330,"(41.961539, -87.743574)"
30125,N,North/Clybourn (Red Line),40650,"(41.910655, -87.649177)"
30172,S,O'Hare (Blue Line),40890,"(41.97766526, -87.90422307)"
30045,S,Cumberland (Blue Line),40230,"(41.984246, -87.838028)"